Names	total	elements
		CHEMBL20926
		CHEMBL4075103
		CHEMBL3977187
		CHEMBL2337362
		CHEMBL4227490
		CHEMBL1946846
		CHEMBL1173248
		CHEMBL589826
		CHEMBL98137
		CHEMBL3416621
		CHEMBL553908
		CHEMBL498249
		CHEMBL4284841
		CHEMBL4800367
		CHEMBL3233790
		CHEMBL5188960
		CHEMBL3883652
		CHEMBL39320
		CHEMBL5189340
		CHEMBL5091683
		CHEMBL2385964
		CHEMBL4279863
		CHEMBL327307
		CHEMBL56266
		CHEMBL1914666
		CHEMBL2437463
		CHEMBL3633930
		CHEMBL4160329
		CHEMBL5206110
		CHEMBL524132
		CHEMBL5200760
		CHEMBL4068047
		CHEMBL293986
		CHEMBL3676338
		CHEMBL2437471
		CHEMBL4082840
		CHEMBL3940909
		CHEMBL4060198
		CHEMBL328955
		CHEMBL3736508
		CHEMBL5288264
		CHEMBL3633936
		CHEMBL3818062
		CHEMBL3963403
		CHEMBL4784258
		CHEMBL381604
		CHEMBL3890186
		CHEMBL3086105
		CHEMBL3975588
		CHEMBL3699600
		CHEMBL3699596
		CHEMBL3092298
		CHEMBL3678947
		CHEMBL4797395
		CHEMBL2047029
		CHEMBL309334
		CHEMBL4245415
		CHEMBL3623278
		CHEMBL3805283
		CHEMBL214631
		CHEMBL168915
		CHEMBL525725
		CHEMBL2283257
		CHEMBL398963
		CHEMBL3775536
		CHEMBL473429
		CHEMBL158119
		CHEMBL323970
		CHEMBL139307
		CHEMBL4746697
		CHEMBL5197545
		CHEMBL3912266
		CHEMBL4521028
		CHEMBL589119
		CHEMBL4205392
		CHEMBL4458344
		CHEMBL5287229
		CHEMBL94109
		CHEMBL3759780
		CHEMBL2334002
		CHEMBL94431
		CHEMBL5283553
		CHEMBL589068
		CHEMBL4787698
		CHEMBL3219132
		CHEMBL4090601
		CHEMBL1090358
		CHEMBL589165
		CHEMBL4752022
		CHEMBL345988
		CHEMBL3416599
		CHEMBL245867
		CHEMBL54088
		CHEMBL3774471
		CHEMBL4776730
		CHEMBL3678955
		CHEMBL4792577
		CHEMBL3953593
		CHEMBL5290595
		CHEMBL3950966
		CHEMBL584
		CHEMBL180415
		CHEMBL1173794
		CHEMBL3114686
		CHEMBL53062
		CHEMBL489349
		CHEMBL1958212
		CHEMBL312451
		CHEMBL473553
		CHEMBL91980
		CHEMBL4106341
		CHEMBL3946232
		CHEMBL172517
		CHEMBL3699615
		CHEMBL3612594
		CHEMBL5206683
		CHEMBL4093535
		CHEMBL5094237
		CHEMBL329867
		CHEMBL7819
		CHEMBL544770
		CHEMBL4063067
		CHEMBL544868
		CHEMBL4759112
		CHEMBL604485
		CHEMBL4286318
		CHEMBL90540
		CHEMBL1172573
		CHEMBL2316148
		CHEMBL435662
		CHEMBL2385971
		CHEMBL4585048
		CHEMBL172652
		CHEMBL5201543
		CHEMBL3925959
		CHEMBL3114699
		CHEMBL4237916
		CHEMBL2408823
		CHEMBL204570
		CHEMBL3980793
		CHEMBL442938
		CHEMBL94019
		CHEMBL5079430
		CHEMBL298931
		CHEMBL53426
		CHEMBL124673
		CHEMBL1812434
		CHEMBL4527121
		CHEMBL3087198
		CHEMBL1172855
		CHEMBL4081727
		CHEMBL2325087
		CHEMBL3970330
		CHEMBL5075594
		CHEMBL4216025
		CHEMBL5195164
		CHEMBL3133894
		CHEMBL5186680
		CHEMBL3133756
		CHEMBL2205030
		CHEMBL4078973
		CHEMBL5178754
		CHEMBL4453276
		CHEMBL2437223
		CHEMBL1822064
		CHEMBL474343
		CHEMBL4587847
		CHEMBL4209119
		CHEMBL5273000
		CHEMBL4073278
		CHEMBL3344215
		CHEMBL2064395
		CHEMBL2335376
		CHEMBL3920583
		CHEMBL4638194
		CHEMBL4555488
		CHEMBL1916949
		CHEMBL4282954
		CHEMBL5281903
		CHEMBL3132872
		CHEMBL5184084
		CHEMBL84141
		CHEMBL1090362
		CHEMBL1828868
		CHEMBL5266481
		CHEMBL4071494
		CHEMBL3747079
		CHEMBL3655345
		CHEMBL55150
		CHEMBL4530686
		CHEMBL3678952
		CHEMBL3416602
		CHEMBL3925158
		CHEMBL394462
		CHEMBL143899
		CHEMBL5172668
		CHEMBL1090356
		CHEMBL5279992
		CHEMBL207815
		CHEMBL5289560
		CHEMBL5270000
		CHEMBL1914659
		CHEMBL354521
		CHEMBL1830272
		CHEMBL2179119
		CHEMBL3774982
		CHEMBL3233764
		CHEMBL3655341
		CHEMBL3904966
		CHEMBL73625
		CHEMBL1172950
		CHEMBL4094527
		CHEMBL109428
		CHEMBL3612564
		CHEMBL287289
		CHEMBL1828861
		CHEMBL441083
		CHEMBL451513
		CHEMBL4800697
		CHEMBL3805218
		CHEMBL53850
		CHEMBL1830271
		CHEMBL3907533
		CHEMBL5209046
		CHEMBL1683958
		CHEMBL545538
		CHEMBL5185864
		CHEMBL4869024
		CHEMBL4088971
		CHEMBL3114701
		CHEMBL3676347
		CHEMBL1630118
		CHEMBL5208397
		CHEMBL2337368
		CHEMBL263666
		CHEMBL3325478
		CHEMBL1821885
		CHEMBL4448424
		CHEMBL93173
		CHEMBL3671519
		CHEMBL3741796
		CHEMBL484119
		CHEMBL144842
		CHEMBL3906330
		CHEMBL3416633
		CHEMBL300217
		CHEMBL3088218
		CHEMBL382186
		CHEMBL5286368
		CHEMBL4783948
		CHEMBL508481
		CHEMBL589560
		CHEMBL3741526
		CHEMBL246491
		CHEMBL3740850
		CHEMBL4072769
		CHEMBL51741
		CHEMBL4063427
		CHEMBL4099254
		CHEMBL5173408
		CHEMBL5094282
		CHEMBL4285217
		CHEMBL3233780
		CHEMBL333115
		CHEMBL3760090
		CHEMBL3612575
		CHEMBL3758800
		CHEMBL4098444
		CHEMBL245278
		CHEMBL2178349
		CHEMBL1828875
		CHEMBL544538
		CHEMBL334334
		CHEMBL2385969
		CHEMBL3114690
		CHEMBL4535047
		CHEMBL4286943
		CHEMBL3958006
		CHEMBL3921664
		CHEMBL4286031
		CHEMBL4095271
		CHEMBL3671582
		CHEMBL2018761
		CHEMBL4290812
		CHEMBL2018749
		CHEMBL55993
		CHEMBL3806143
		CHEMBL552860
		CHEMBL1821871
		CHEMBL3360608
		CHEMBL4778826
		CHEMBL4782025
		CHEMBL592200
		CHEMBL4098409
		CHEMBL5291434
		CHEMBL2035810
		CHEMBL79215
		CHEMBL3671485
		CHEMBL372692
		CHEMBL37346
		CHEMBL14932
		CHEMBL5269346
		CHEMBL31570
		CHEMBL590962
		CHEMBL4064942
		CHEMBL595374
		CHEMBL3671571
		CHEMBL444619
		CHEMBL225721
		CHEMBL279481
		CHEMBL4101774
		CHEMBL4637274
		CHEMBL76905
		CHEMBL4760864
		CHEMBL475446
		CHEMBL324718
		CHEMBL4283097
		CHEMBL2029692
		CHEMBL3910496
		CHEMBL3671557
		CHEMBL4534592
		CHEMBL52913
		CHEMBL410253
		CHEMBL3978686
		CHEMBL3355889
		CHEMBL2070194
		CHEMBL249927
		CHEMBL4226151
		CHEMBL594661
		CHEMBL1958024
		CHEMBL3758990
		CHEMBL360028
		CHEMBL5077866
		CHEMBL5180965
		CHEMBL3919609
		CHEMBL590559
		CHEMBL4129607
		CHEMBL4215164
		CHEMBL215559
		CHEMBL3297891
		CHEMBL4083493
		CHEMBL4565086
		CHEMBL3344209
		CHEMBL328879
		CHEMBL3347487
		CHEMBL4531250
		CHEMBL4776056
		CHEMBL328691
		CHEMBL3741424
		CHEMBL3676363
		CHEMBL1173713
		CHEMBL4288482
		CHEMBL340862
		CHEMBL4752843
		CHEMBL2385981
		CHEMBL1928955
		CHEMBL179274
		CHEMBL3746473
		CHEMBL3676382
		CHEMBL125550
		CHEMBL5084983
		CHEMBL4439837
		CHEMBL3416441
		CHEMBL5288888
		CHEMBL3979264
		CHEMBL3960786
		CHEMBL4592472
		CHEMBL205148
		CHEMBL4102214
		CHEMBL4098412
		CHEMBL4569885
		CHEMBL80302
		CHEMBL3092315
		CHEMBL1945446
		CHEMBL3676392
		CHEMBL4289577
		CHEMBL597752
		CHEMBL3436355
		CHEMBL4280817
		CHEMBL50647
		CHEMBL4065503
		CHEMBL338449
		CHEMBL212965
		CHEMBL181275
		CHEMBL5289059
		CHEMBL594810
		CHEMBL3754709
		CHEMBL153518
		CHEMBL4281413
		CHEMBL78005
		CHEMBL424853
		CHEMBL116595
		CHEMBL1094475
		CHEMBL241988
		CHEMBL5196024
		CHEMBL590877
		CHEMBL94062
		CHEMBL79064
		CHEMBL387265
		CHEMBL1958214
		CHEMBL333045
		CHEMBL3940401
		CHEMBL4565374
		CHEMBL39811
		CHEMBL1271561
		CHEMBL3752139
		CHEMBL3754556
		CHEMBL3586177
		CHEMBL3360602
		CHEMBL4437943
		CHEMBL5176460
		CHEMBL4445761
		CHEMBL4456234
		CHEMBL3676389
		CHEMBL3671585
		CHEMBL4471155
		CHEMBL4441440
		CHEMBL214868
		CHEMBL3219135
		CHEMBL4086056
		CHEMBL416191
		CHEMBL179052
		CHEMBL4526992
		CHEMBL248114
		CHEMBL3942999
		CHEMBL4753631
		CHEMBL380669
		CHEMBL3939300
		CHEMBL133023
		CHEMBL5076283
		CHEMBL194160
		CHEMBL2221249
		CHEMBL4460381
		CHEMBL3952157
		CHEMBL4465497
		CHEMBL3360613
		CHEMBL3353399
		CHEMBL4746895
		CHEMBL4796408
		CHEMBL3604918
		CHEMBL5291403
		CHEMBL2348414
		CHEMBL3297898
		CHEMBL2336355
		CHEMBL376089
		CHEMBL496174
		CHEMBL3233772
		CHEMBL4520286
		CHEMBL340700
		CHEMBL53637
		CHEMBL299672
		CHEMBL246073
		CHEMBL418906
		CHEMBL4559807
		CHEMBL54784
		CHEMBL5170653
		CHEMBL4105392
